 41.9996444   29.45286651  39.58424856
  42.57819934  29.66416977  38.82199852
  43.15675427  29.87547303  38.05974849
  43.7353092   30.08677629  37.29749845
  44.31386413  30.29807956  36.53524841
  44.89241907  30.50938282  35.77299837
  45.470974    30.72068608  35.01074833
  46.04952893  30.93198934  34.24849829
  46.62808386  31.14329261  33.48624825
  30.95780436  66.26518326 -15.1907762 
  31.39822163  65.43000262 -14.92827683
  31.83863891  64.59482197 -14.66577747
  32.27905618  63.75964133 -14.40327811
  32.71947345  62.92446068 -14.14077875
  33.15989072  62.08928003 -13.87827938
  33.600308    61.25409939 -13.61578002
  34.04072527  60.41891874 -13.35328066
  34.48114254  59.5837381  -13.0907813 
